Spokane Valley,47.6626,-117.2346,WA
La Crosse,43.8241,-91.2268,WI
Carmel,39.965,-86.146,IN
Boca Raton,26.3752,-80.108,FL
Longview,32.5193,-94.7622,TX
Kingsport,36.5224,-82.5454,TN
South Fulton,33.6273,-84.58,GA
Beaverton,45.4779,-122.8168,OR
Rio Rancho,35.2873,-106.6982,NM
Prescott Valley,34.598,-112.3185,AZ
Orem,40.2981,-111.6994,UT
Edinburg,26.3196,-98.1597,TX
San Angelo,31.4424,-100.4504,TX
Portsmouth,43.058,-70.7826,NH
Tracy,37.7269,-121.4523,CA
Federal Way,47.3091,-122.3358,WA
Lawrence,38.9597,-95.2642,KS
Manteca,37.7927,-121.2264,CA
San Marcos,33.135,-117.1743,CA
Sandy,40.5709,-111.8506,UT
Riverview,27.8227,-82.3023,FL
Compton,33.893,-118.2274,CA
Brockton,42.0821,-71.0242,MA
Santa Fe,35.6619,-105.9819,NM
Hanford,36.3274,-119.6549,CA
Middletown,39.5033,-84.3659,OH
Hesperia,34.3975,-117.3147,CA
Portsmouth,36.8468,-76.354,VA
South Gate,33.9447,-118.1926,CA
Roswell,34.0391,-84.3513,GA
Sunrise,26.1547,-80.2997,FL
Bowling Green,36.9716,-86.4378,KY
Lee's Summit,38.9171,-94.3816,MO
Slidell,30.2887,-89.7828,LA
Blacksburg,37.23,-80.4279,VA
Quincy,42.2506,-71.0187,MA
Plantation,26.1259,-80.2617,FL
Dearborn,42.3127,-83.213,MI
Lynn,42.4781,-70.9664,MA
Livonia,42.3972,-83.3733,MI
Missoula,46.8751,-114.0214,MT
Arden-Arcade,38.6017,-121.3845,CA
Fishers,39.9588,-85.9659,IN
Mayagüez,18.2003,-67.1397,PR
Terre Haute,39.466,-87.3751,IN
Edmond,35.6689,-97.416,OK
Menifee,33.6909,-117.1849,CA
Vineland,39.4653,-74.9981,NJ
Santa Monica,34.0235,-118.481,CA
Alafaya,28.528,-81.1868,FL
Suffolk,36.6953,-76.6398,VA
Carson,33.8374,-118.2559,CA
Kirkland,47.697,-122.2057,WA
Westminster,33.7523,-117.9938,CA
San Leandro,37.7074,-122.1599,CA
Lawton,34.6175,-98.4202,OK
Bismarck,46.8143,-100.7694,ND
